plantid,microbediversity,d52,d53,d54,d55,d56,d57,d58,d59,d60,d61,d62,d63,d64,d65,d66,d67,d68,d69,d70,d71,d72,d73,d74,d75,d76,d77,d78,d79,d80,d81,d82,d83,d84,d85,d86,d87,d88,d89,d90,d91,d92,d93,d94,d95,d96,d97,d98,d99,d100,d101,d102,d103,d104,d105,d106,d107,d108,d109,d110,d111,d112,d113,d114,d115,d116,d117,d118,d119,d120,d121,d122,d123,d124,d125,d126,d127,d128,d129,d130,d131,d132,d133,d134,d135,d136,d137,d138,d139,d140,d141,d142,d143,d144,d145,d146,d147,d148,d149,d150,d151,d152,d153,d154,d155,d156,d157,d158,d159,d160,d161,d162,d163,d164,d165,d166,d167,d168,d169,d170,d171,d172,d173,d174,d175,d176,d177,d178,d179,d180,d181,d182,d183,d184,d185,d186,d187,d188,d189,d190,d191,d192,d193,d194,d195,d196,d197,d198,d199,d200,d201,d202,d203,d204,d205,d206,d207,d208,d209,d210,d211,d212,d213,d214,d215,d216,d217,d218,d219,d220,d221,d222,d223,d224,d225,d226,d227,d228,d229,d230
BernheimSterile2,SterileLow,,,,,,,,,,,,,,1,2,2,2,1,2,4,2,4,1,3,4,2,5,4,2,3,3,1,2,4,3,3,1,2,2,3,5,4,3,1,2,2,1,2,3,3,2,8,0,1,1,0,4,1,7,2,3,4,3,4,2,1,,0,0,2,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BernheimBacteria3,BacteriaLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BernheimBacteria10,BacteriaLow,,,,,,,,,,,,,,,,1,1,3,1,0,2,1,2,1,2,3,0,3,1,1,3,3,3,2,4,1,3,1,4,3,2,4,3,1,4,3,5,3,5,3,1,3,3,7,4,2,4,3,5,1,4,6,5,3,1,3,,4,7,0,1,0,0,0,1,0,0,0,1,1,2,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BernheimBacteria6,BacteriaLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,2,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,,0,2,0,0,0,0,0,0,0,1,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,2,0,0,3,2,2,0,1,0,0,0,3,0,0,0,0,0,0,1,0,2,1,0,2,1,1,,,,,,,,,,
BernheimBacteria8,BacteriaLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleeSterile1,SterileHigh,,,,,1,0,2,2,3,2,1,3,3,1,1,0,2,2,2,2,1,0,3,2,4,1,4,3,3,1,5,1,3,4,3,2,6,1,1,2,4,5,3,3,2,7,4,3,4,3,3,6,4,4,2,5,2,8,6,4,5,2,3,3,3,4,,1,1,1,0,0,0,1,2,0,3,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPSterile3,SterileHigh,,,,,,,,1,2,0,2,2,4,0,2,3,2,1,3,3,4,2,2,3,6,1,1,3,3,2,7,8,3,4,5,3,4,8,5,6,6,4,8,3,3,3,4,4,5,8,4,4,5,4,1,4,6,4,8,2,7,2,5,3,3,3,,3,0,7,2,1,5,1,9,8,4,4,6,4,3,1,0,3,3,0,2,2,3,2,1,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,1,0,0,0,,0,0,0,1,0,0,0,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPSterile2,SterileHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,1,0,2,0,0,1,0,0,2,1,2,0,3,2,1,0,1,3,2,1,1,1,4,1,1,2,1,4,3,2,1,2,3,1,3,3,,2,3,2,1,3,4,3,3,1,3,2,3,0,0,3,1,1,1,1,1,1,0,2,0,1,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPSterile1,SterileHigh,,,,3,2,2,2,1,3,1,3,3,0,0,0,1,3,2,2,2,2,3,2,3,2,0,1,3,3,1,4,2,4,1,1,2,0,2,0,3,0,2,1,4,2,2,3,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPBacteria5,BacteriaHigh,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,1,3,4,2,3,1,5,5,2,4,6,4,4,3,4,0,6,2,7,3,4,3,4,3,4,4,5,9,2,2,7,6,0,4,5,,3,4,0,0,0,1,0,0,0,1,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPBacteria8,BacteriaHigh,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1,1,0,1,1,1,0,0,1,2,2,0,1,0,0,3,2,2,0,1,3,1,2,2,2,1,4,3,2,4,3,3,2,2,4,5,1,3,4,3,4,4,5,,5,1,5,9,3,4,5,6,5,6,4,3,4,2,1,1,3,6,3,3,1,1,4,3,2,1,1,1,2,1,3,1,1,0,1,1,0,1,0,1,2,0,3,3,1,1,1,,0,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPBacteria7,BacteriaHigh,,,,,,,,,,,1,1,2,1,1,0,1,1,1,3,0,0,1,1,1,0,3,1,3,1,1,2,4,1,3,3,1,2,2,3,3,5,3,2,4,1,3,1,6,2,3,2,1,3,2,2,2,2,2,2,1,1,2,1,5,4,,3,3,4,1,1,1,0,0,0,1,3,0,0,4,2,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,1,3,5,2,3,1,2,1,1,1,0,0,0,1,3,3,0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPBacteria9,BacteriaHigh,,,,,,,,,1,0,0,2,0,1,1,3,0,1,0,0,1,0,1,0,1,1,0,0,1,2,0,1,1,1,6,2,0,1,3,0,0,0,2,1,3,1,0,0,1,1,0,0,1,4,4,3,2,1,3,2,2,2,1,0,1,2,,0,1,0,0,0,0,0,2,1,1,1,0,0,1,0,1,0,1,4,1,3,3,2,1,2,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,,1,0,0,0,3,1,0,0,1,0,2,0,2,2,1,0,0,1,0,1,0,0,1,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPFull10,FullHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,2,8,0,4,9,2,2,3,2,3,1,3,0,0,1,1,0,0,0,3,2,0,4,0,3,1,3,1,1,1,0,1,,0,0,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPFull9,FullHigh,,,,,,,,,,,,,,,,,,,3,4,4,3,4,6,7,0,6,3,0,5,1,1,4,3,5,7,2,2,3,4,4,2,4,2,4,7,3,1,2,5,4,2,1,1,0,3,0,4,2,2,3,3,4,2,2,4,,4,0,1,1,2,2,3,1,0,1,5,1,3,4,3,2,2,3,2,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPFull7,FullHigh,,,,,,,,,,,,,,,1,2,2,6,4,1,5,3,7,3,3,1,5,4,3,4,5,3,2,1,5,4,2,0,5,2,4,2,2,4,1,4,2,2,2,3,1,1,3,2,1,2,0,3,4,3,1,4,5,4,5,3,,1,2,3,4,0,0,2,4,2,1,2,1,0,1,0,1,0,1,0,3,3,2,2,3,2,4,2,0,3,1,0,2,0,0,0,1,2,0,0,0,0,0,1,0,1,3,1,,1,1,0,1,1,2,0,0,0,2,0,0,0,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLPFull6,FullHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,5,3,5,4,6,2,2,2,1,2,1,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,,0,5,0,3,3,4,2,4,5,3,2,1,0,1,1,0,0,0,0,2,2,2,0,2,3,3,2,1,1,2,1,0,0,2,1,1,3,1,1,2,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleeBacteria4,BacteriaHigh,,,,,,,,,,,,,,,,,,,3,2,0,2,2,3,1,1,3,2,1,2,1,1,2,3,2,4,0,5,2,3,2,4,5,2,6,6,7,8,7,8,6,6,5,5,6,3,7,13,5,7,6,4,7,5,7,6,,5,5,9,2,2,2,6,2,0,5,3,0,2,0,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleeBacteria8,BacteriaHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,6,2,5,7,4,8,7,2,4,7,5,5,3,5,5,5,2,2,3,4,1,6,3,1,1,,1,0,2,1,0,0,0,0,0,10,7,7,2,1,1,5,2,3,4,5,2,4,1,1,1,1,1,2,1,2,3,0,2,5,1,1,0,1,3,2,2,2,2,2,1,2,1,,0,2,2,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,0,1,3,0,1,1,2,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,0,1,,,,,,
AlleeBacteria7,BacteriaHigh,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1,1,1,3,1,1,2,3,5,4,2,3,2,4,4,4,3,6,4,3,3,3,2,2,3,0,5,4,3,6,5,8,4,6,1,2,6,5,3,4,5,9,6,,5,3,5,1,0,4,2,0,0,6,4,3,7,2,1,0,1,1,4,3,1,2,0,1,1,5,2,2,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleeBacteria6,BacteriaHigh,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,3,3,1,2,2,2,1,3,4,0,1,3,1,3,4,2,5,3,2,5,4,2,5,6,4,6,6,3,5,3,5,8,8,5,5,5,5,5,,2,1,7,2,2,3,1,1,0,1,0,0,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
